data,refeicao,prato_principal_1,prato_principal_2,guarnição,sobremesa
2023-01-03 ,almoco,frango empanado,quibe de brócolis,creme de milho,doce de leite e maçã
2023-01-03,jantar,linguiça acebolada,ovo frito,farofa,maxi goiabinha e laranja
2023-01-04,almoco,bisteca ao molho barbecue,hamburguer de lentilha a pizzaiolo,couve refogada,barra de cereal e melão
2023-01-04,jantar,lagarto ao molho madeira,goulash vegetariano,polenta,gelatina de morango e banana
2023-01-05,almoco,peixe frito,omelete de forno,purê de mandioquinha,chocolate e abacaxi
2023-01-05,jantar,isca de carne ao molho roty,curry de legumes,legumes refogados,mousse de limão e melancia
2023-01-06,almoco,bife ao molho de azeitonas,cassoulet vegetariano,batata corada,picolé de limão e banana
2023-01-06,jantar,frango assado,pvt com azeitonas,macarrão ao sugo,brigadeirão e abacaxi
2023-01-07,almoco,carne de panela ao pomodoro,brócolis gratinado,cenoura sautê,sagu e tangerina
2023-01-09,almoco,bife acebolado,tomate recheado,torta de legumes,bombom e melancia
2023-01-09,jantar,estrogonofe de frango,estrogonofe de pvt,batata palha,barra de cereal e melão
2023-01-10,almoco,lombo ao molho de limão,ovo cozido,farofa rica,arroz doce e banana
2023-01-10,jantar,bife ao molho de azeitona,pvt alemão,chuchu com manjericão,maxi chocolate e abacaxi
2023-01-11,almoco,iscas ao molho de cogumelo,pvt com cogumelo,nhoque ao sugo,mosaico de gelatina e maçã
2023-01-11,jantar,cubos de pernil ao molho barbecue,omelete,mandioca sautê,cocada branca e laranja
2023-01-12,almoco,carne louca,almôndega de pvt,polenta cremosa,doce de abóbora e melão
2023-01-12,jantar,lasanha à bolonhesa,lasanha de queijo,acelga ao vinagrete,picolé de uva e mexerica
2023-01-13,almoco,filé de frango ao molho tomatelli,curry de legumes,batata rústica,bananada e laranja
2023-01-13,jantar,bife ao molho madeira,quibe de brócolis,legumes gratinados,pudim de maria mole e banana
2023-01-14,almoco,cubos de pernil ao molho ferrugem,hamburguer de lentilha,abobrinha à italiana,cocada e melancia
2023-01-16,almoco,filé de frango empanado,suflê de legumes,creme de milho,mini bolo de chocolate e melancia
2023-01-16,jantar,iscas ao molho madeira,tomate recheado,batata doce com ervas,maxi goiabinha e melão
2023-01-17,almoco,linguiça acebolada,grãos com queijo branco ,legumes ao forno,sorvete de creme e tangerina
2023-01-17,jantar,bife ao molho pomodoro,pvt com shimeji e cogumelo,acelga à chinesa,gelatina de cereja e maçã
2023-01-18,almoco,bife ao molho ferrugem,ovo frito,farofa,flan de baunilha e banana
2023-01-18,jantar,peixe ao molho de queijos,almôndega de grão de bico,brócolis refogado ,iogurte e mamão
2023-01-19,almoco,quibe assado,quibe de pvt,repolho à escabeche,pudim de chocolate e laranja
2023-01-19,jantar,isca de frango ao molho rosê,ovo cozido,macarrão alho e óleo,manjar de coco e melancia
2023-01-20,almoco,filé de coxa assado,cassoulet vegetariano,polenta ao sugo,mosaico de gelatina e mamão
2023-01-20,jantar,hambúrguer ao sugo,hambúrguer de lentilha ao sugo,batata rústica,goiabada e banana
